slug,name,akc_group,size_band,min_kg,max_kg,min_lb,max_lb,min_lifespan_years,max_lifespan_years,midpoint_kg,daily_kcal_neutered_adult_at_midpoint
affenpinscher,Affenpinscher,Toy,toy,3.2,4.5,7.1,9.9,12,15,3.85,308
afghan-hound,Afghan Hound,Hound,medium,22.7,27.2,50,60,12,15,24.95,1250
airedale-terrier,Airedale Terrier,Terrier,large,22.7,31.8,50,70.1,11,14,27.25,1336
akita,Akita,Working,giant,31.8,59,70.1,130.1,10,13,45.4,1959
alaskan-malamute,Alaskan Malamute,Working,large,34,38.6,75,85.1,10,14,36.3,1656
american-bulldog,American Bulldog,Foundation Stock Service,large,27.2,45.4,60,100.1,10,12,36.3,1656
american-english-coonhound,American English Coonhound,Hound,medium,20.4,29.5,45,65,11,12,24.95,1250
american-eskimo-dog,American Eskimo Dog,Non-Sporting,small,2.7,15.9,6,35.1,13,15,9.3,596
american-foxhound,American Foxhound,Hound,large,27.2,31.8,60,70.1,11,13,29.5,1418
american-hairless-terrier,American Hairless Terrier,Terrier,small,5.4,7.3,11.9,16.1,14,16,6.35,448
american-leopard-hound,American Leopard Hound,Foundation Stock Service,large,20.4,31.8,45,70.1,12,15,26.1,1293
american-staffordshire-terrier,American Staffordshire Terrier,Terrier,medium,18.1,31.8,39.9,70.1,12,16,24.95,1250
american-water-spaniel,American Water Spaniel,Sporting,medium,11.3,20.4,24.9,45,10,14,15.85,890
anatolian-shepherd-dog,Anatolian Shepherd Dog,Working,giant,36.3,68,80,149.9,11,13,52.15,2173
appenzeller-sennenhund,Appenzeller Sennenhund,Foundation Stock Service,large,21.8,31.8,48.1,70.1,12,15,26.8,1319
australian-cattle-dog,Australian Cattle Dog,Herding,medium,15.9,22.7,35.1,50,12,16,19.3,1031
australian-shepherd,Australian Shepherd,Herding,medium,18.1,29.5,39.9,65,12,15,23.8,1207
australian-stumpy-tail-cattle-dog,Australian Stumpy Tail Cattle Dog,Foundation Stock Service,medium,14.5,20.4,32,45,12,15,17.45,956
australian-terrier,Australian Terrier,Terrier,small,6.8,9.1,15,20.1,11,15,7.95,530
azawakh,Azawakh,Hound,medium,15,24.9,33.1,54.9,12,15,19.95,1057
barbet,Barbet,Sporting,medium,15.9,29.5,35.1,65,12,14,22.7,1165
basenji,Basenji,Hound,small,10,10.9,22,24,13,14,10.45,651
basset-fauve-de-bretagne,Basset Fauve de Bretagne,Foundation Stock Service,medium,12.2,15.9,26.9,35.1,12,12,14.05,813
