model_slug,model,parameters_b,accelerator_slug,accelerator,accelerator_kind,memory_gb,assumed_usable_gb,verdict,headroom_gb,best_quantisation,max_context
llama-3-2-1b,Llama 3.2 1B,1.24,rtx-5090,GeForce RTX 5090,discrete,32,29.4,yes,27.703,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,rtx-4090,GeForce RTX 4090,discrete,24,22.1,yes,20.403,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,rtx-3090,GeForce RTX 3090,discrete,24,22.1,yes,20.403,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,rtx-5080,GeForce RTX 5080,discrete,16,14.7,yes,13.003,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,rtx-4080-super,GeForce RTX 4080 SUPER,discrete,16,14.7,yes,13.003,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,rtx-5070-ti,GeForce RTX 5070 Ti,discrete,16,14.7,yes,13.003,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,rtx-4070-ti-super,GeForce RTX 4070 Ti SUPER,discrete,16,14.7,yes,13.003,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,rtx-5070,GeForce RTX 5070,discrete,12,11,yes,9.303,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,rtx-4070,GeForce RTX 4070,discrete,12,11,yes,9.303,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,rtx-3060-12gb,GeForce RTX 3060 12GB,discrete,12,11,yes,9.303,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,rtx-4060-ti-16gb,GeForce RTX 4060 Ti 16GB,discrete,16,14.7,yes,13.003,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,rtx-3080,GeForce RTX 3080,discrete,10,9.2,yes,7.503,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,rx-7900-xtx,Radeon RX 7900 XTX,discrete,24,22.1,yes,20.403,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,rx-7900-xt,Radeon RX 7900 XT,discrete,20,18.4,yes,16.703,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,rx-9070-xt,Radeon RX 9070 XT,discrete,16,14.7,yes,13.003,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,2x-rtx-3090,2× RTX 3090 (48 GB),multi,48,44.2,yes,42.503,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,2x-rtx-4090,2× RTX 4090 (48 GB),multi,48,44.2,yes,42.503,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,4x-rtx-3090,4× RTX 3090 (96 GB),multi,96,88.3,yes,86.603,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,m4-max-64gb,"Mac (M4 Max, 64 GB)",unified,64,48,yes,46.303,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,m4-max-128gb,"Mac (M4 Max, 128 GB)",unified,128,96,yes,94.303,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,m4-pro-48gb,"Mac (M4 Pro, 48 GB)",unified,48,36,yes,34.303,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,m4-24gb,"Mac (M4, 24 GB)",unified,24,16.1,yes,14.403,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,m3-max-128gb,"Mac (M3 Max, 128 GB)",unified,128,96,yes,94.303,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,m2-ultra-192gb,"Mac Studio (M2 Ultra, 192 GB)",unified,192,144,yes,142.303,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,m1-max-32gb,"Mac (M1 Max, 32 GB)",unified,32,21.4,yes,19.703,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,m2-16gb,"Mac (M2, 16 GB)",unified,16,10.7,yes,9.003,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,a100-40gb,NVIDIA A100 40GB,datacenter,40,38,yes,36.303,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,a100-80gb,NVIDIA A100 80GB,datacenter,80,76,yes,74.303,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,h100-80gb,NVIDIA H100 80GB,datacenter,80,76,yes,74.303,fp16,131072
llama-3-2-1b,Llama 3.2 1B,1.24,l40s-48gb,NVIDIA L40S 48GB,datacenter,48,45.6,yes,43.903,fp16,131072
qwen2-5-3b,Qwen2.5 3B,3.09,rtx-5090,GeForce RTX 5090,discrete,32,29.4,yes,26.702,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,rtx-4090,GeForce RTX 4090,discrete,24,22.1,yes,19.402,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,rtx-3090,GeForce RTX 3090,discrete,24,22.1,yes,19.402,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,rtx-5080,GeForce RTX 5080,discrete,16,14.7,yes,12.002,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,rtx-4080-super,GeForce RTX 4080 SUPER,discrete,16,14.7,yes,12.002,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,rtx-5070-ti,GeForce RTX 5070 Ti,discrete,16,14.7,yes,12.002,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,rtx-4070-ti-super,GeForce RTX 4070 Ti SUPER,discrete,16,14.7,yes,12.002,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,rtx-5070,GeForce RTX 5070,discrete,12,11,yes,8.302,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,rtx-4070,GeForce RTX 4070,discrete,12,11,yes,8.302,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,rtx-3060-12gb,GeForce RTX 3060 12GB,discrete,12,11,yes,8.302,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,rtx-4060-ti-16gb,GeForce RTX 4060 Ti 16GB,discrete,16,14.7,yes,12.002,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,rtx-3080,GeForce RTX 3080,discrete,10,9.2,yes,6.502,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,rx-7900-xtx,Radeon RX 7900 XTX,discrete,24,22.1,yes,19.402,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,rx-7900-xt,Radeon RX 7900 XT,discrete,20,18.4,yes,15.702,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,rx-9070-xt,Radeon RX 9070 XT,discrete,16,14.7,yes,12.002,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,2x-rtx-3090,2× RTX 3090 (48 GB),multi,48,44.2,yes,41.502,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,2x-rtx-4090,2× RTX 4090 (48 GB),multi,48,44.2,yes,41.502,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,4x-rtx-3090,4× RTX 3090 (96 GB),multi,96,88.3,yes,85.602,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,m4-max-64gb,"Mac (M4 Max, 64 GB)",unified,64,48,yes,45.302,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,m4-max-128gb,"Mac (M4 Max, 128 GB)",unified,128,96,yes,93.302,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,m4-pro-48gb,"Mac (M4 Pro, 48 GB)",unified,48,36,yes,33.302,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,m4-24gb,"Mac (M4, 24 GB)",unified,24,16.1,yes,13.402,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,m3-max-128gb,"Mac (M3 Max, 128 GB)",unified,128,96,yes,93.302,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,m2-ultra-192gb,"Mac Studio (M2 Ultra, 192 GB)",unified,192,144,yes,141.302,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,m1-max-32gb,"Mac (M1 Max, 32 GB)",unified,32,21.4,yes,18.702,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,m2-16gb,"Mac (M2, 16 GB)",unified,16,10.7,yes,8.002,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,a100-40gb,NVIDIA A100 40GB,datacenter,40,38,yes,35.302,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,a100-80gb,NVIDIA A100 80GB,datacenter,80,76,yes,73.302,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,h100-80gb,NVIDIA H100 80GB,datacenter,80,76,yes,73.302,fp16,32768
qwen2-5-3b,Qwen2.5 3B,3.09,l40s-48gb,NVIDIA L40S 48GB,datacenter,48,45.6,yes,42.902,fp16,32768
llama-3-2-3b,Llama 3.2 3B,3.21,rtx-5090,GeForce RTX 5090,discrete,32,29.4,yes,26.042,fp16,131072
llama-3-2-3b,Llama 3.2 3B,3.21,rtx-4090,GeForce RTX 4090,discrete,24,22.1,yes,18.742,fp16,131072
llama-3-2-3b,Llama 3.2 3B,3.21,rtx-3090,GeForce RTX 3090,discrete,24,22.1,yes,18.742,fp16,131072
llama-3-2-3b,Llama 3.2 3B,3.21,rtx-5080,GeForce RTX 5080,discrete,16,14.7,yes,11.342,fp16,114379
llama-3-2-3b,Llama 3.2 3B,3.21,rtx-4080-super,GeForce RTX 4080 SUPER,discrete,16,14.7,yes,11.342,fp16,114379
llama-3-2-3b,Llama 3.2 3B,3.21,rtx-5070-ti,GeForce RTX 5070 Ti,discrete,16,14.7,yes,11.342,fp16,114379
llama-3-2-3b,Llama 3.2 3B,3.21,rtx-4070-ti-super,GeForce RTX 4070 Ti SUPER,discrete,16,14.7,yes,11.342,fp16,114379
llama-3-2-3b,Llama 3.2 3B,3.21,rtx-5070,GeForce RTX 5070,discrete,12,11,yes,7.642,fp16,79738
llama-3-2-3b,Llama 3.2 3B,3.21,rtx-4070,GeForce RTX 4070,discrete,12,11,yes,7.642,fp16,79738
llama-3-2-3b,Llama 3.2 3B,3.21,rtx-3060-12gb,GeForce RTX 3060 12GB,discrete,12,11,yes,7.642,fp16,79738
llama-3-2-3b,Llama 3.2 3B,3.21,rtx-4060-ti-16gb,GeForce RTX 4060 Ti 16GB,discrete,16,14.7,yes,11.342,fp16,114379
llama-3-2-3b,Llama 3.2 3B,3.21,rtx-3080,GeForce RTX 3080,discrete,10,9.2,yes,5.842,fp16,62886
llama-3-2-3b,Llama 3.2 3B,3.21,rx-7900-xtx,Radeon RX 7900 XTX,discrete,24,22.1,yes,18.742,fp16,131072
llama-3-2-3b,Llama 3.2 3B,3.21,rx-7900-xt,Radeon RX 7900 XT,discrete,20,18.4,yes,15.042,fp16,131072
llama-3-2-3b,Llama 3.2 3B,3.21,rx-9070-xt,Radeon RX 9070 XT,discrete,16,14.7,yes,11.342,fp16,114379
llama-3-2-3b,Llama 3.2 3B,3.21,2x-rtx-3090,2× RTX 3090 (48 GB),multi,48,44.2,yes,40.842,fp16,131072
llama-3-2-3b,Llama 3.2 3B,3.21,2x-rtx-4090,2× RTX 4090 (48 GB),multi,48,44.2,yes,40.842,fp16,131072
llama-3-2-3b,Llama 3.2 3B,3.21,4x-rtx-3090,4× RTX 3090 (96 GB),multi,96,88.3,yes,84.942,fp16,131072
llama-3-2-3b,Llama 3.2 3B,3.21,m4-max-64gb,"Mac (M4 Max, 64 GB)",unified,64,48,yes,44.642,fp16,131072
llama-3-2-3b,Llama 3.2 3B,3.21,m4-max-128gb,"Mac (M4 Max, 128 GB)",unified,128,96,yes,92.642,fp16,131072
llama-3-2-3b,Llama 3.2 3B,3.21,m4-pro-48gb,"Mac (M4 Pro, 48 GB)",unified,48,36,yes,32.642,fp16,131072
llama-3-2-3b,Llama 3.2 3B,3.21,m4-24gb,"Mac (M4, 24 GB)",unified,24,16.1,yes,12.742,fp16,127486
llama-3-2-3b,Llama 3.2 3B,3.21,m3-max-128gb,"Mac (M3 Max, 128 GB)",unified,128,96,yes,92.642,fp16,131072
llama-3-2-3b,Llama 3.2 3B,3.21,m2-ultra-192gb,"Mac Studio (M2 Ultra, 192 GB)",unified,192,144,yes,140.642,fp16,131072
llama-3-2-3b,Llama 3.2 3B,3.21,m1-max-32gb,"Mac (M1 Max, 32 GB)",unified,32,21.4,yes,18.042,fp16,131072
llama-3-2-3b,Llama 3.2 3B,3.21,m2-16gb,"Mac (M2, 16 GB)",unified,16,10.7,yes,7.342,fp16,76930
llama-3-2-3b,Llama 3.2 3B,3.21,a100-40gb,NVIDIA A100 40GB,datacenter,40,38,yes,34.642,fp16,131072
llama-3-2-3b,Llama 3.2 3B,3.21,a100-80gb,NVIDIA A100 80GB,datacenter,80,76,yes,72.642,fp16,131072
llama-3-2-3b,Llama 3.2 3B,3.21,h100-80gb,NVIDIA H100 80GB,datacenter,80,76,yes,72.642,fp16,131072
