slug,name,family,publisher,parameters,parameters_b,stated_size_b,vocab_size,hidden_size,intermediate_size,layers,attention_heads,key_value_heads,head_dim,gqa_ratio,max_context,tied_embeddings,sliding_window,kv_bytes_per_token
llama-3-2-1b,Llama 3.2 1B,Llama 3,Meta,1235746816,1.24,1.24,128256,2048,8192,16,32,8,64,4,131072,true,,32768
qwen2-5-3b,Qwen2.5 3B,Qwen2.5,Alibaba,3085697024,3.09,3.09,151936,2048,11008,36,16,2,128,8,32768,true,,36864
llama-3-2-3b,Llama 3.2 3B,Llama 3,Meta,3212574720,3.21,3.21,128256,3072,8192,28,24,8,128,3,131072,true,,114688
mistral-7b-v0-3,Mistral 7B v0.3,Mistral,Mistral AI,7247757312,7.25,7.25,32768,4096,14336,32,32,8,128,4,32768,false,,131072
qwen2-5-7b,Qwen2.5 7B,Qwen2.5,Alibaba,7615283200,7.62,7.62,152064,3584,18944,28,28,4,128,7,32768,false,,57344
qwen2-5-coder-7b,Qwen2.5 Coder 7B,Qwen2.5,Alibaba,7615283200,7.62,7.62,152064,3584,18944,28,28,4,128,7,32768,false,,57344
llama-3-1-8b,Llama 3.1 8B,Llama 3,Meta,8029995008,8.03,8.03,128256,4096,14336,32,32,8,128,4,131072,false,,131072
gemma-2-9b,Gemma 2 9B,Gemma 2,Google,9241100288,9.24,9.24,256000,3584,14336,42,16,8,256,2,8192,true,4096,344064
phi-4,Phi-4,Phi,Microsoft,14659092480,14.66,14.66,100352,5120,17920,40,40,10,128,4,16384,false,,204800
qwen2-5-14b,Qwen2.5 14B,Qwen2.5,Alibaba,14769192960,14.77,14.77,152064,5120,13824,48,40,8,128,5,32768,false,,196608
gemma-2-27b,Gemma 2 27B,Gemma 2,Google,27226275840,27.23,27.2,256000,4608,36864,46,32,16,128,2,8192,true,4096,376832
qwen2-5-32b,Qwen2.5 32B,Qwen2.5,Alibaba,32762757120,32.76,32.76,152064,5120,27648,64,40,8,128,5,32768,false,,262144
qwen2-5-coder-32b,Qwen2.5 Coder 32B,Qwen2.5,Alibaba,32762757120,32.76,32.76,152064,5120,27648,64,40,8,128,5,32768,false,,262144
llama-3-3-70b,Llama 3.3 70B,Llama 3,Meta,70552387584,70.55,70.55,128256,8192,28672,80,64,8,128,8,131072,false,,327680
qwen2-5-72b,Qwen2.5 72B,Qwen2.5,Alibaba,72704065536,72.7,72.71,152064,8192,29568,80,64,8,128,8,32768,false,,327680
