model_slug,model,quantisation,bits_per_weight,weights_gb,kv_cache_gb,runtime_overhead_gb,total_gb,context
llama-3-2-1b,Llama 3.2 1B,fp16,16,2.302,0.25,0.8,3.352,8192
llama-3-2-1b,Llama 3.2 1B,q8-0,8.5,1.223,0.25,0.8,2.273,8192
llama-3-2-1b,Llama 3.2 1B,q6-k,6.6,0.949,0.25,0.8,1.999,8192
llama-3-2-1b,Llama 3.2 1B,q5-k-m,5.5,0.791,0.25,0.8,1.841,8192
llama-3-2-1b,Llama 3.2 1B,q4-k-m,4.5,0.647,0.25,0.8,1.697,8192
llama-3-2-1b,Llama 3.2 1B,q3-k-m,3.9,0.561,0.25,0.8,1.611,8192
qwen2-5-3b,Qwen2.5 3B,fp16,16,5.748,0.281,0.8,6.829,8192
qwen2-5-3b,Qwen2.5 3B,q8-0,8.5,3.053,0.281,0.8,4.135,8192
qwen2-5-3b,Qwen2.5 3B,q6-k,6.6,2.371,0.281,0.8,3.452,8192
qwen2-5-3b,Qwen2.5 3B,q5-k-m,5.5,1.976,0.281,0.8,3.057,8192
qwen2-5-3b,Qwen2.5 3B,q4-k-m,4.5,1.617,0.281,0.8,2.698,8192
qwen2-5-3b,Qwen2.5 3B,q3-k-m,3.9,1.401,0.281,0.8,2.482,8192
llama-3-2-3b,Llama 3.2 3B,fp16,16,5.984,0.875,0.8,7.659,8192
llama-3-2-3b,Llama 3.2 3B,q8-0,8.5,3.179,0.875,0.8,4.854,8192
llama-3-2-3b,Llama 3.2 3B,q6-k,6.6,2.468,0.875,0.8,4.143,8192
llama-3-2-3b,Llama 3.2 3B,q5-k-m,5.5,2.057,0.875,0.8,3.732,8192
llama-3-2-3b,Llama 3.2 3B,q4-k-m,4.5,1.683,0.875,0.8,3.358,8192
llama-3-2-3b,Llama 3.2 3B,q3-k-m,3.9,1.459,0.875,0.8,3.134,8192
mistral-7b-v0-3,Mistral 7B v0.3,fp16,16,13.5,1,0.8,15.3,8192
mistral-7b-v0-3,Mistral 7B v0.3,q8-0,8.5,7.172,1,0.8,8.972,8192
mistral-7b-v0-3,Mistral 7B v0.3,q6-k,6.6,5.569,1,0.8,7.369,8192
mistral-7b-v0-3,Mistral 7B v0.3,q5-k-m,5.5,4.641,1,0.8,6.441,8192
mistral-7b-v0-3,Mistral 7B v0.3,q4-k-m,4.5,3.797,1,0.8,5.597,8192
mistral-7b-v0-3,Mistral 7B v0.3,q3-k-m,3.9,3.291,1,0.8,5.091,8192
qwen2-5-7b,Qwen2.5 7B,fp16,16,14.185,0.438,0.8,15.422,8192
qwen2-5-7b,Qwen2.5 7B,q8-0,8.5,7.536,0.438,0.8,8.773,8192
qwen2-5-7b,Qwen2.5 7B,q6-k,6.6,5.851,0.438,0.8,7.089,8192
qwen2-5-7b,Qwen2.5 7B,q5-k-m,5.5,4.876,0.438,0.8,6.113,8192
qwen2-5-7b,Qwen2.5 7B,q4-k-m,4.5,3.989,0.438,0.8,5.227,8192
qwen2-5-7b,Qwen2.5 7B,q3-k-m,3.9,3.457,0.438,0.8,4.695,8192
qwen2-5-coder-7b,Qwen2.5 Coder 7B,fp16,16,14.185,0.438,0.8,15.422,8192
qwen2-5-coder-7b,Qwen2.5 Coder 7B,q8-0,8.5,7.536,0.438,0.8,8.773,8192
qwen2-5-coder-7b,Qwen2.5 Coder 7B,q6-k,6.6,5.851,0.438,0.8,7.089,8192
qwen2-5-coder-7b,Qwen2.5 Coder 7B,q5-k-m,5.5,4.876,0.438,0.8,6.113,8192
qwen2-5-coder-7b,Qwen2.5 Coder 7B,q4-k-m,4.5,3.989,0.438,0.8,5.227,8192
qwen2-5-coder-7b,Qwen2.5 Coder 7B,q3-k-m,3.9,3.457,0.438,0.8,4.695,8192
llama-3-1-8b,Llama 3.1 8B,fp16,16,14.957,1,0.8,16.757,8192
llama-3-1-8b,Llama 3.1 8B,q8-0,8.5,7.946,1,0.8,9.746,8192
llama-3-1-8b,Llama 3.1 8B,q6-k,6.6,6.17,1,0.8,7.97,8192
llama-3-1-8b,Llama 3.1 8B,q5-k-m,5.5,5.141,1,0.8,6.941,8192
llama-3-1-8b,Llama 3.1 8B,q4-k-m,4.5,4.207,1,0.8,6.007,8192
llama-3-1-8b,Llama 3.1 8B,q3-k-m,3.9,3.646,1,0.8,5.446,8192
gemma-2-9b,Gemma 2 9B,fp16,16,17.213,2.625,0.8,20.638,8192
gemma-2-9b,Gemma 2 9B,q8-0,8.5,9.144,2.625,0.8,12.569,8192
gemma-2-9b,Gemma 2 9B,q6-k,6.6,7.1,2.625,0.8,10.525,8192
gemma-2-9b,Gemma 2 9B,q5-k-m,5.5,5.917,2.625,0.8,9.342,8192
gemma-2-9b,Gemma 2 9B,q4-k-m,4.5,4.841,2.625,0.8,8.266,8192
gemma-2-9b,Gemma 2 9B,q3-k-m,3.9,4.196,2.625,0.8,7.621,8192
phi-4,Phi-4,fp16,16,27.305,1.562,0.8,29.667,8192
phi-4,Phi-4,q8-0,8.5,14.506,1.562,0.8,16.868,8192
phi-4,Phi-4,q6-k,6.6,11.263,1.562,0.8,13.626,8192
