cpu_slug,cpu,gpu_slug,gpu,continuous_watts,computed_psu_watts,vendor_recommended_psu_watts,recommended_psu_watts,binding_constraint,recommended_from_tdp_watts,sizes_missed_by_tdp,load_fraction_at_recommended,headroom_watts
core-i5-12400f,Core i5-12400F,rtx-5090,GeForce RTX 5090,736,1000,1000,1000,agree,1000,0,0.736,264
core-i5-12400f,Core i5-12400F,rtx-4090,GeForce RTX 4090,611,800,850,850,vendor,700,2,0.719,239
core-i5-12400f,Core i5-12400F,rtx-3090-ti,GeForce RTX 3090 Ti,611,800,850,850,vendor,700,2,0.719,239
core-i5-12400f,Core i5-12400F,rtx-5080,GeForce RTX 5080,521,700,850,850,vendor,600,2,0.613,329
core-i5-12400f,Core i5-12400F,rx-7900-xtx,Radeon RX 7900 XTX,516,650,800,800,vendor,600,1,0.645,284
core-i5-12400f,Core i5-12400F,rtx-3090,GeForce RTX 3090,511,650,750,750,vendor,600,1,0.681,239
core-i5-12400f,Core i5-12400F,rtx-3080-ti,GeForce RTX 3080 Ti,511,650,750,750,vendor,600,1,0.681,239
core-i5-12400f,Core i5-12400F,rtx-3080,GeForce RTX 3080,511,650,750,750,vendor,600,1,0.681,239
core-i5-12400f,Core i5-12400F,rtx-4080-super,GeForce RTX 4080 SUPER,481,650,750,750,vendor,550,2,0.641,269
core-i5-12400f,Core i5-12400F,rtx-4080,GeForce RTX 4080,481,650,750,750,vendor,550,2,0.641,269
core-i5-12400f,Core i5-12400F,rx-7900-xt,Radeon RX 7900 XT,476,600,750,750,vendor,550,1,0.635,274
core-i5-12400f,Core i5-12400F,rx-9070-xt,Radeon RX 9070 XT,465,600,750,750,vendor,550,1,0.62,285
core-i5-12400f,Core i5-12400F,rtx-5070-ti,GeForce RTX 5070 Ti,461,600,750,750,vendor,550,1,0.615,289
core-i5-12400f,Core i5-12400F,rtx-3070-ti,GeForce RTX 3070 Ti,451,600,650,650,vendor,500,2,0.694,199
core-i5-12400f,Core i5-12400F,rtx-4070-ti-super,GeForce RTX 4070 Ti SUPER,446,600,700,700,vendor,500,2,0.637,254
core-i5-12400f,Core i5-12400F,rtx-4070-ti,GeForce RTX 4070 Ti,446,600,700,700,vendor,500,2,0.637,254
core-i5-12400f,Core i5-12400F,rx-7800-xt,Radeon RX 7800 XT,424,550,700,700,vendor,500,1,0.606,276
core-i5-12400f,Core i5-12400F,rx-7900-gre,Radeon RX 7900 GRE,421,550,700,700,vendor,500,1,0.601,279
core-i5-12400f,Core i5-12400F,rtx-5070,GeForce RTX 5070,411,550,650,650,vendor,450,2,0.632,239
core-i5-12400f,Core i5-12400F,rx-7700-xt,Radeon RX 7700 XT,406,550,700,700,vendor,450,2,0.58,294
core-i5-12400f,Core i5-12400F,rtx-4070-super,GeForce RTX 4070 SUPER,381,500,650,650,vendor,450,1,0.586,269
core-i5-12400f,Core i5-12400F,rtx-3070,GeForce RTX 3070,381,500,650,650,vendor,450,1,0.586,269
core-i5-12400f,Core i5-12400F,rx-9070,Radeon RX 9070,381,500,650,650,vendor,450,1,0.586,269
core-i5-12400f,Core i5-12400F,rtx-4070,GeForce RTX 4070,361,500,650,650,vendor,450,1,0.555,289
core-i5-12400f,Core i5-12400F,rtx-3060-ti,GeForce RTX 3060 Ti,361,500,600,600,vendor,450,1,0.602,239
core-i5-12400f,Core i5-12400F,rtx-5060-ti,GeForce RTX 5060 Ti,341,450,600,600,vendor,450,0,0.568,259
core-i5-12400f,Core i5-12400F,rtx-3060,GeForce RTX 3060,331,450,550,550,vendor,450,0,0.602,219
core-i5-12400f,Core i5-12400F,rtx-4060-ti,GeForce RTX 4060 Ti,326,450,550,550,vendor,450,0,0.593,224
core-i5-12400f,Core i5-12400F,rx-7600,Radeon RX 7600,326,450,550,550,vendor,450,0,0.593,224
core-i5-12400f,Core i5-12400F,rx-9060-xt,Radeon RX 9060 XT,321,450,550,550,vendor,450,0,0.584,229
core-i5-12400f,Core i5-12400F,rtx-5060,GeForce RTX 5060,306,450,550,550,vendor,450,0,0.556,244
core-i5-12400f,Core i5-12400F,rtx-5050,GeForce RTX 5050,291,450,550,550,vendor,450,0,0.529,259
core-i5-12400f,Core i5-12400F,rtx-3050,GeForce RTX 3050,291,450,550,550,vendor,450,0,0.529,259
core-i5-12400f,Core i5-12400F,rtx-4060,GeForce RTX 4060,276,450,550,550,vendor,450,0,0.502,274
core-i5-13600k,Core i5-13600K,rtx-5090,GeForce RTX 5090,800,1000,1000,1000,agree,1000,0,0.8,200
core-i5-13600k,Core i5-13600K,rtx-4090,GeForce RTX 4090,675,850,850,850,agree,800,1,0.794,175
core-i5-13600k,Core i5-13600K,rtx-3090-ti,GeForce RTX 3090 Ti,675,850,850,850,agree,800,1,0.794,175
core-i5-13600k,Core i5-13600K,rtx-5080,GeForce RTX 5080,585,750,850,850,vendor,700,1,0.688,265
core-i5-13600k,Core i5-13600K,rx-7900-xtx,Radeon RX 7900 XTX,580,750,800,800,vendor,700,1,0.725,220
core-i5-13600k,Core i5-13600K,rtx-3090,GeForce RTX 3090,575,750,750,750,agree,650,2,0.767,175
