slug,state,abbr,tax_year,has_state_income_tax,net_1099_at_100k_usd,net_w2_at_100k_usd,tax_difference_usd,break_even_contract_usd,break_even_premium,effective_rate_1099,qbi_deduction_reaches_state_tax
california,California,CA,2026,true,73222.06,72809.58,-412.47,99322.38,-0.006776,0.267779,false
colorado,Colorado,CO,2026,true,74930.85,75048.4,117.55,100177.45,0.001775,0.250691,true
washington,Washington,WA,2026,false,77635.45,77792.8,157.35,100226.36,0.002264,0.223645,false
rhode-island,Rhode Island,RI,2026,true,74767.25,74931.88,164.62,100249.32,0.002493,0.252327,false
south-carolina,South Carolina,SC,2026,true,74603.46,74802.1,198.64,100305.35,0.003054,0.253965,true
oregon,Oregon,OR,2026,true,71053.81,71281.5,227.69,100368.81,0.003688,0.289462,false
new-jersey,New Jersey,NJ,2026,true,73905.43,74408.59,503.16,100791.21,0.007912,0.260946,false
maine,Maine,ME,2026,true,73040.37,73579.79,539.42,100858,0.00858,0.269596,false
hawaii,Hawaii,HI,2026,true,72102.52,72720.09,617.58,100988.9,0.009889,0.278975,false
connecticut,Connecticut,CT,2026,true,73274.01,73930,655.99,101018.58,0.010186,0.26726,false
new-york,New York,NY,2026,true,73192.52,73908.34,715.82,101117.93,0.011179,0.268075,false
massachusetts,Massachusetts,MA,2026,true,73208.69,73940,731.31,101127.4,0.011274,0.267913,false
district-of-columbia,District of Columbia,DC,2026,true,72704.46,73648.5,944.04,101532.18,0.015322,0.272955,false
vermont,Vermont,VT,2026,true,73961.93,74930.2,968.27,101527.73,0.015277,0.260381,false
minnesota,Minnesota,MN,2026,true,72839.25,73903.4,1064.14,101683.93,0.016839,0.271607,false
delaware,Delaware,DE,2026,true,73004.43,74082.7,1078.27,101701.28,0.017013,0.269956,false
north-dakota,North Dakota,ND,2026,true,77382.08,78489.21,1107.13,101626.6,0.016266,0.226179,true
wisconsin,Wisconsin,WI,2026,true,73588.61,74713.79,1125.18,101758.18,0.017582,0.264114,false
virginia,Virginia,VA,2026,true,73105.77,74244.1,1138.33,101773.92,0.017739,0.268942,false
montana,Montana,MT,2026,true,73745.51,74890.9,1145.39,101782.35,0.017823,0.262545,false
kansas,Kansas,KS,2026,true,73249.35,74399.69,1150.34,101788.23,0.017882,0.267506,false
idaho,Idaho,ID,2026,true,73563.18,74733.3,1170.12,101811.65,0.018117,0.264368,false
georgia,Georgia,GA,2026,true,73596.78,74788.8,1192.02,101837.37,0.018374,0.264032,false
illinois,Illinois,IL,2026,true,73179.94,74374.79,1194.84,101840.67,0.018407,0.268201,false
new-mexico,New Mexico,NM,2026,true,74412.52,75610.9,1198.38,101844.79,0.018448,0.255875,false
west-virginia,West Virginia,WV,2026,true,74090.87,75294.9,1204.03,101851.37,0.018514,0.259091,false
maryland,Maryland,MD,2026,true,73584.65,74793.63,1208.97,101857.12,0.018571,0.264153,false
missouri,Missouri,MO,2026,true,74439.83,75652.33,1212.51,101861.22,0.018612,0.255602,false
nebraska,Nebraska,NE,2026,true,74286.44,75509.54,1223.1,101873.47,0.018735,0.257136,false
oklahoma,Oklahoma,OK,2026,true,73998.87,75225.5,1226.63,101877.55,0.018775,0.260011,false
utah,Utah,UT,2026,true,73453.37,74680,1226.63,101877.55,0.018775,0.265466,false
michigan,Michigan,MI,2026,true,73936.45,75180.75,1244.3,101897.83,0.018978,0.260635,false
pennsylvania,Pennsylvania,PA,2026,true,74782.34,76040,1257.66,101886.66,0.018867,0.252177,false
mississippi,Mississippi,MS,2026,true,74650.04,75912,1261.96,101917.97,0.01918,0.2535,false
north-carolina,North Carolina,NC,2026,true,74436.06,75698.73,1262.67,101918.78,0.019188,0.255639,false
arkansas,Arkansas,AR,2026,true,74223.71,75492.73,1269.02,101925.99,0.01926,0.257763,false
alaska,Alaska,AK,2026,false,77635.45,78909,1273.55,101832.08,0.018321,0.223645,false
iowa,Iowa,IA,2026,true,74715.71,75991.8,1276.09,101933.99,0.01934,0.252843,false
kentucky,Kentucky,KY,2026,true,74500.32,75797.6,1297.28,101957.83,0.019578,0.254997,false
louisiana,Louisiana,LA,2026,true,75233.64,76566.25,1332.61,101997.14,0.019971,0.247664,false
indiana,Indiana,IN,2026,true,74923.36,76259.5,1336.14,102001.04,0.02001,0.250766,false
ohio,Ohio,OH,2026,true,75862.11,77212.38,1350.27,102016.59,0.020166,0.241379,false
arizona,Arizona,AZ,2026,true,75714.57,77082.5,1367.93,102035.9,0.020359,0.242854,false
alabama,Alabama,AL,2026,true,73665.44,75103.5,1438.06,102189.33,0.021893,0.263346,false
florida,Florida,FL,2026,false,77635.45,79180,1544.55,102221.93,0.022219,0.223645,false
nevada,Nevada,NV,2026,false,77635.45,79180,1544.55,102221.93,0.022219,0.223645,false
new-hampshire,New Hampshire,NH,2026,false,77635.45,79180,1544.55,102221.93,0.022219,0.223645,false
south-dakota,South Dakota,SD,2026,false,77635.45,79180,1544.55,102221.93,0.022219,0.223645,false
tennessee,Tennessee,TN,2026,false,77635.45,79180,1544.55,102221.93,0.022219,0.223645,false
texas,Texas,TX,2026,false,77635.45,79180,1544.55,102221.93,0.022219,0.223645,false
wyoming,Wyoming,WY,2026,false,77635.45,79180,1544.55,102221.93,0.022219,0.223645,false
