state_slug,state,abbr,filing_status,bracket_index,income_from_usd,income_to_usd,marginal_rate
alabama,Alabama,AL,single,0,0,500,0.02
alabama,Alabama,AL,single,1,500,3000,0.04
alabama,Alabama,AL,single,2,3000,,0.05
alabama,Alabama,AL,married_jointly,0,0,1000,0.02
alabama,Alabama,AL,married_jointly,1,1000,6000,0.04
alabama,Alabama,AL,married_jointly,2,6000,,0.05
alabama,Alabama,AL,head_of_household,0,0,500,0.02
alabama,Alabama,AL,head_of_household,1,500,3000,0.04
alabama,Alabama,AL,head_of_household,2,3000,,0.05
arizona,Arizona,AZ,single,0,0,,0.025
arizona,Arizona,AZ,married_jointly,0,0,,0.025
arizona,Arizona,AZ,head_of_household,0,0,,0.025
arkansas,Arkansas,AR,single,0,0,4600,0.02
arkansas,Arkansas,AR,single,1,4600,,0.039
arkansas,Arkansas,AR,married_jointly,0,0,4600,0.02
arkansas,Arkansas,AR,married_jointly,1,4600,,0.039
arkansas,Arkansas,AR,head_of_household,0,0,4600,0.02
arkansas,Arkansas,AR,head_of_household,1,4600,,0.039
california,California,CA,single,0,0,11079,0.01
california,California,CA,single,1,11079,26264,0.02
california,California,CA,single,2,26264,41452,0.04
california,California,CA,single,3,41452,57542,0.06
california,California,CA,single,4,57542,72724,0.08
california,California,CA,single,5,72724,371479,0.093
california,California,CA,single,6,371479,445771,0.103
california,California,CA,single,7,445771,742953,0.113
california,California,CA,single,8,742953,,0.123
california,California,CA,married_jointly,0,0,22158,0.01
california,California,CA,married_jointly,1,22158,52528,0.02
california,California,CA,married_jointly,2,52528,82904,0.04
california,California,CA,married_jointly,3,82904,115084,0.06
california,California,CA,married_jointly,4,115084,145448,0.08
california,California,CA,married_jointly,5,145448,742958,0.093
california,California,CA,married_jointly,6,742958,891542,0.103
california,California,CA,married_jointly,7,891542,1485906,0.113
california,California,CA,married_jointly,8,1485906,,0.123
california,California,CA,head_of_household,0,0,22173,0.01
california,California,CA,head_of_household,1,22173,52532,0.02
california,California,CA,head_of_household,2,52532,67718,0.04
california,California,CA,head_of_household,3,67718,83807,0.06
california,California,CA,head_of_household,4,83807,98993,0.08
california,California,CA,head_of_household,5,98993,505222,0.093
california,California,CA,head_of_household,6,505222,606268,0.103
california,California,CA,head_of_household,7,606268,1010446,0.113
california,California,CA,head_of_household,8,1010446,,0.123
colorado,Colorado,CO,single,0,0,,0.044
colorado,Colorado,CO,married_jointly,0,0,,0.044
colorado,Colorado,CO,head_of_household,0,0,,0.044
connecticut,Connecticut,CT,single,0,0,10000,0.02
connecticut,Connecticut,CT,single,1,10000,50000,0.045
connecticut,Connecticut,CT,single,2,50000,100000,0.055
